# 2pPD
# C C 30 30
# C D 0 50
# D C 50 0
# D D 10 10
# prob_of_init_C = 0.500000
# num_of_tournaments = 151
# num_of_opponents = 10
# prehistory l = 6
# pop_size = 100
# num_of_generations = 200
# tournament_size = 3
# crossover_prob = 0.900000
# mutation_prob = 0.003000
# elitist_strategy = False
# num_of_runs = 1
# seed = 1169918397461643
# freq_gen_start = 30
# delta_freq = 10
#  1 2 3
# gen best_fit avg_fit
  0 25.83 22.48
  1 26.20 22.53
  2 26.70 22.47
  3 26.21 22.45
  4 26.77 22.56
  5 25.19 22.38
  6 25.41 22.50
  7 26.66 22.34
  8 24.54 22.33
  9 25.76 22.48
  10 26.56 22.65
  11 25.73 22.34
  12 25.37 22.45
  13 24.70 22.39
  14 25.68 22.34
  15 25.24 22.47
  16 24.84 22.35
  17 25.13 22.60
  18 26.26 22.47
  19 25.34 22.63
  20 25.23 22.70
  21 24.83 22.64
  22 26.31 22.54
  23 27.16 22.64
  24 24.91 22.66
  25 25.07 22.55
  26 25.10 22.38
  27 25.52 22.69
  28 25.39 22.54
  29 25.20 22.63
  30 25.78 22.69
  31 25.32 22.58
  32 25.91 22.41
  33 25.38 22.60
  34 26.34 22.42
  35 26.19 22.62
  36 27.41 22.55
  37 25.09 22.78
  38 26.51 22.67
  39 25.92 22.99
  40 27.18 23.07
  41 26.68 22.75
  42 26.99 23.19
  43 26.33 23.08
  44 26.05 23.13
  45 26.95 23.37
  46 26.64 23.36
  47 26.77 23.18
  48 27.80 23.63
  49 27.01 23.87
  50 28.15 23.81
  51 27.42 23.98
  52 27.84 24.42
  53 27.70 24.57
  54 27.72 24.39
  55 28.35 24.34
  56 29.12 24.34
  57 27.54 24.39
  58 28.13 24.17
  59 29.56 24.55
  60 27.21 24.01
  61 29.46 24.84
  62 27.78 24.21
  63 28.19 24.46
  64 29.83 25.04
  65 28.72 24.81
  66 30.32 24.83
  67 28.17 25.07
  68 29.11 24.96
  69 29.45 25.47
  70 29.60 25.56
  71 28.83 25.55
  72 28.46 25.29
  73 29.95 25.46
  74 29.44 25.43
  75 28.43 25.86
  76 29.54 25.90
  77 29.88 25.61
  78 29.67 25.61
  79 28.99 25.62
  80 30.33 26.10
  81 30.50 26.11
  82 28.48 25.81
  83 28.50 26.06
  84 29.53 25.97
  85 28.19 25.90
  86 28.98 26.26
  87 28.74 26.17
  88 28.40 26.09
  89 30.87 26.40
  90 29.96 26.35
  91 29.89 26.19
  92 30.40 26.56
  93 29.50 26.20
  94 29.46 26.70
  95 30.03 26.20
  96 31.31 26.44
  97 30.26 26.53
  98 29.83 26.12
  99 29.22 26.21
  100 29.26 26.70
  101 29.85 26.52
  102 29.59 26.55
  103 28.87 26.54
  104 29.45 26.52
  105 29.61 26.49
  106 30.46 26.56
  107 30.32 26.70
  108 30.01 26.68
  109 29.67 26.54
  110 30.09 26.88
  111 30.52 26.76
  112 30.60 26.80
  113 29.69 26.78
  114 30.22 26.77
  115 30.57 26.90
  116 29.85 26.69
  117 29.77 26.77
  118 28.48 26.55
  119 30.48 26.81
  120 29.48 26.81
  121 31.16 26.67
  122 31.22 26.98
  123 31.38 26.74
  124 30.76 26.62
  125 31.77 26.58
  126 29.78 26.82
  127 30.91 26.96
  128 31.46 26.69
  129 30.30 26.86
  130 30.02 26.63
  131 30.36 26.65
  132 28.87 26.76
  133 30.64 26.84
  134 29.27 27.00
  135 30.15 26.73
  136 29.83 27.13
  137 30.90 27.22
  138 29.94 27.14
  139 29.60 27.27
  140 29.47 27.46
  141 29.38 27.12
  142 30.15 27.05
  143 31.01 26.86
  144 30.87 26.83
  145 31.51 27.23
  146 30.70 27.02
  147 31.23 27.15
  148 30.99 27.08
  149 30.54 27.43
  150 30.51 26.98
  151 31.10 27.14
  152 30.73 27.04
  153 30.95 27.48
  154 31.66 27.16
  155 30.44 27.25
  156 28.87 27.18
  157 30.11 27.42
  158 31.50 27.19
  159 31.23 26.97
  160 30.83 27.38
  161 30.74 27.32
  162 31.28 27.07
  163 30.56 27.25
  164 31.03 27.22
  165 29.19 27.44
  166 30.95 27.47
  167 29.90 27.78
  168 31.61 27.37
  169 31.05 27.59
  170 31.68 27.39
  171 30.70 27.24
  172 31.28 27.37
  173 30.93 27.45
  174 29.40 27.34
  175 30.99 27.27
  176 31.08 27.40
  177 31.00 27.47
  178 31.28 27.30
  179 30.77 27.33
  180 31.89 27.33
  181 31.66 27.63
  182 31.22 27.64
  183 30.92 27.49
  184 30.82 27.72
  185 31.16 27.95
  186 31.42 27.95
  187 31.32 27.68
  188 32.05 27.91
  189 30.84 27.88
  190 31.47 27.92
  191 31.91 27.39
  192 31.69 27.81
  193 31.88 27.40
  194 31.29 27.52
  195 30.40 27.39
  196 31.45 27.58
  197 31.89 27.56
  198 31.30 27.55
  199 30.34 27.36
  200 31.47 27.15
