# 2pPD
# C C 30 30
# C D 0 50
# D C 50 0
# D D 10 10
# prob_of_init_C = 0.500000
# num_of_tournaments = 151
# num_of_opponents = 10
# prehistory l = 3
# pop_size = 100
# num_of_generations = 10
# tournament_size = 3
# crossover_prob = 0.900000
# mutation_prob = 0.003000
# elitist_strategy = False
# num_of_runs = 5
# seed = 2323863341692709
# freq_gen_start = 5
# delta_freq = 5
# Exper 1
# 1 2 3
# gen best_fit avg_fit
  0 32.20 22.21
  1 31.30 21.05
  2 28.56 21.64
  3 28.36 21.49
  4 30.58 21.13
  5 30.50 20.91
  6 28.56 20.47
  7 28.06 20.05
  8 26.71 20.12
  9 27.11 20.24
  10 24.67 19.93

# Exper 2
# 1 2 3
# gen best_fit avg_fit
  0 31.19 22.09
  1 33.69 22.21
  2 37.25 21.99
  3 35.64 22.03
  4 31.95 21.45
  5 30.16 21.09
  6 28.95 21.33
  7 27.76 21.61
  8 25.22 21.04
  9 26.62 20.97
  10 26.84 20.40

# Exper 3
# 1 2 3
# gen best_fit avg_fit
  0 33.28 22.20
  1 30.21 22.08
  2 29.89 21.18
  3 34.34 21.12
  4 29.75 20.98
  5 31.58 21.38
  6 31.26 21.52
  7 30.15 21.77
  8 32.77 20.78
  9 31.07 20.57
  10 31.71 19.96

# Exper 4
# 1 2 3
# gen best_fit avg_fit
  0 31.20 22.49
  1 31.22 22.40
  2 30.41 22.71
  3 33.83 22.47
  4 29.29 22.47
  5 29.94 22.17
  6 30.96 20.48
  7 27.95 20.16
  8 28.81 19.61
  9 32.15 20.60
  10 30.70 20.44

# Exper 5
# 1 2 3
# gen best_fit avg_fit
  0 30.72 22.48
  1 29.76 22.39
  2 30.23 21.00
  3 30.60 21.27
  4 29.46 21.33
  5 31.65 21.10
  6 26.91 20.39
  7 25.02 20.24
  8 26.80 20.57
  9 24.80 21.15
  10 25.04 21.76
