# 2pPD
# C C 30 30
# C D 0 50
# D C 50 0
# D D 10 10
# prob_of_init_C = 0.500000
# num_of_tournaments = 151
# num_of_opponents = 10
# prehistory l = 3
# pop_size = 100
# num_of_generations = 10
# tournament_size = 3
# crossover_prob = 0.900000
# mutation_prob = 0.003000
# elitist_strategy = False
# num_of_runs = 5
# seed = 5417401417924262
# freq_gen_start = 0
# delta_freq = 1
# Exper 1
# 1 2 3
# gen best_fit avg_fit
  0 34.93 22.29
  1 31.25 22.26
  2 30.27 21.70
  3 28.52 21.13
  4 26.30 20.41
  5 29.07 20.99
  6 30.93 20.99
  7 26.62 20.99
  8 27.18 21.34
  9 30.60 21.71
  10 29.44 21.77

# Exper 2
# 1 2 3
# gen best_fit avg_fit
  0 31.95 22.28
  1 29.72 22.47
  2 30.83 22.01
  3 34.18 21.59
  4 27.68 21.14
  5 34.78 21.34
  6 30.40 21.37
  7 32.65 21.29
  8 26.41 21.55
  9 29.52 21.61
  10 28.93 20.64

# Exper 3
# 1 2 3
# gen best_fit avg_fit
  0 32.26 22.70
  1 31.43 21.57
  2 33.05 21.47
  3 35.39 20.61
  4 32.32 20.15
  5 34.74 19.97
  6 34.43 20.80
  7 27.96 19.41
  8 30.65 19.72
  9 34.70 19.56
  10 31.23 18.39

# Exper 4
# 1 2 3
# gen best_fit avg_fit
  0 29.85 22.09
  1 34.15 22.42
  2 35.46 22.16
  3 30.05 21.55
  4 30.39 21.21
  5 29.15 21.01
  6 26.92 21.00
  7 30.35 22.34
  8 27.00 21.69
  9 28.81 22.49
  10 28.63 22.46

# Exper 5
# 1 2 3
# gen best_fit avg_fit
  0 32.50 22.50
  1 28.36 22.42
  2 34.83 22.76
  3 34.36 22.35
  4 30.55 22.21
  5 30.82 22.32
  6 29.30 21.99
  7 31.93 21.94
  8 28.97 22.49
  9 30.52 22.37
  10 29.50 22.41
